epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,7457.7,1.35397,0.99661,1.14101,0.75288,0.75624,0.73877,0.31831,1.4186,19.1839,1.03703,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,7638.42,1.35347,0.99532,1.13853,0.7784,0.77507,0.76949,0.33236,1.3982,12.6186,1.04092,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,7816.71,1.3609,0.99856,1.13986,0.75313,0.77251,0.76208,0.34237,1.40055,14.8856,1.04117,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,7994.56,1.35965,0.99704,1.13613,0.74437,0.78655,0.76987,0.34397,1.38128,14.0942,1.02785,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,8171.67,1.34872,0.97938,1.13282,0.78838,0.78485,0.79502,0.3507,1.37255,12.176,1.02244,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,8349.2,1.34791,0.98531,1.13175,0.76081,0.78329,0.78211,0.34058,1.38611,14.4615,1.03021,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,8530.12,1.34455,0.99781,1.12774,0.77593,0.79586,0.79024,0.33901,1.38443,16.4901,1.03282,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,8708.97,1.33499,0.96965,1.13297,0.75724,0.7846,0.7863,0.33679,1.40173,17.2727,1.04413,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,8888.41,1.35122,0.98645,1.13131,0.75951,0.76427,0.7855,0.33783,1.4166,15.4723,1.0567,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,9072.2,1.34157,0.97781,1.13408,0.77356,0.76063,0.78252,0.34372,1.40513,14.095,1.04327,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,9253.95,1.33528,0.96618,1.13129,0.76907,0.78731,0.79143,0.35185,1.39622,15.5136,1.03713,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,9438.9,1.33442,0.97305,1.12485,0.75316,0.79087,0.77157,0.34234,1.40475,17.2484,1.04655,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,9622.23,1.34137,0.96897,1.12583,0.72614,0.77603,0.7553,0.33856,1.40108,17.0246,1.04387,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,9804.59,1.33581,0.98147,1.12647,0.73447,0.77736,0.75399,0.33542,1.39832,16.7311,1.04236,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,9985,1.32022,0.96007,1.11764,0.73656,0.76759,0.75403,0.3298,1.40473,16.8329,1.05192,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
